iter	Passed	Remaining
690	16975	7590
691	16997	7565
692	17018	7539
693	17040	7513
694	17062	7487
695	17083	7461
696	17105	7436
697	17124	7409
698	17144	7382
699	17165	7356
700	17190	7332
701	17212	7306
702	17231	7279
703	17252	7254
704	17274	7228
705	17297	7203
706	17318	7177
707	17340	7151
708	17362	7126
709	17383	7100
710	17405	7074
711	17426	7049
712	17448	7023
713	17471	6998
714	17493	6972
715	17515	6947
716	17540	6923
717	17564	6898
718	17592	6875
719	17616	6850
720	17640	6826
721	17664	6801
722	17689	6777
723	17710	6751
724	17736	6727
725	17759	6702
726	17782	6677
727	17803	6651
728	17825	6626
729	17847	6601
730	17870	6576
731	17892	6550
732	17913	6525
733	17935	6499
734	17957	6474
735	17978	6448
736	18000	6423
737	18021	6397
738	18044	6372
739	18065	6347
740	18086	6321
741	18106	6295
742	18128	6270
743	18149	6244
744	18172	6219
745	18192	6194
746	18213	6168
747	18235	6143
748	18261	6119
749	18288	6096
750	18313	6071
751	18338	6047
752	18360	6022
753	18382	5997
754	18406	5973
755	18430	5948
756	18453	5923
757	18476	5898
758	18502	5874
759	18529	5851
760	18565	5830
761	18598	5809
762	18631	5787
763	18657	5763
764	18683	5739
765	18707	5714
766	18731	5690
767	18758	5666
768	18784	5642
769	18815	5620
770	18842	5596
771	18866	5571
772	18889	5547
773	18910	5521
774	18932	5496
775	18954	5471
776	18977	5446
777	18999	5421
778	19024	5397
779	19047	5372
780	19069	5347
781	19096	5323
782	19118	5298
783	19139	5273
784	19161	5248
785	19182	5222
786	19204	5197
787	19226	5172
788	19247	5147
789	19268	5121
790	19290	5096
791	19311	5071
792	19332	5046
793	19354	5021
794	19375	4996
795	19397	4971
796	19421	4946
797	19443	4921
798	19464	4896
799	19486	4871
800	19508	4846
801	19531	4822
802	19553	4797
803	19581	4773
804	19608	4749
805	19632	4725
806	19656	4701
807	19680	4676
808	19705	4652
809	19729	4627
810	19752	4603
811	19776	4578
812	19801	4554
813	19826	4530
814	19848	4505
815	19872	4481
816	19895	4456
817	19918	4431
818	19941	4407
819	19961	4381
820	19984	4357
821	20010	4333
822	20035	4308
823	20060	4284
824	20084	4260
825	20108	4235
826	20132	4211
827	20157	4187
828	20181	4162
829	20204	4138
830	20227	4113
831	20251	4089
832	20272	4064
833	20294	4039
834	20320	4015
835	20345	3991
836	20367	3966
837	20390	3941
838	20413	3917
839	20436	3892
840	20460	3868
841	20485	3844
842	20508	3819
843	20532	3795
844	20553	3770
845	20575	3745
846	20596	3720
847	20620	3696
848	20642	3671
849	20664	3646
850	20686	3621
851	20708	3597
852	20730	3572
853	20752	3547
854	20773	3523
855	20795	3498
856	20819	3473
857	20840	3449
858	20863	3424
859	20886	3400
860	20909	3375
861	20931	3351
862	20953	3326
863	20975	3301
864	21002	3277
865	21022	3252
866	21046	3228
867	21069	3204
868	21093	3179
869	21115	3155
870	21137	3130
871	21161	3106
872	21183	3081
873	21209	3057
874	21231	3033
875	21256	3008
876	21279	2984
877	21301	2959
878	21322	2935
879	21344	2910
880	21366	2886
881	21388	2861
882	21411	2837
883	21434	2812
884	21458	2788
885	21480	2763
886	21501	2739
887	21524	2714
888	21547	2690
889	21569	2665
890	21592	2641
891	21614	2617
892	21637	2592
893	21664	2568
894	21687	2544
895	21715	2520
896	21741	2496
897	21765	2472
898	21787	2447
899	21823	2424
900	21855	2401
901	21881	2377
902	21913	2353
903	21937	2329
904	21959	2305
905	21982	2280
906	22007	2256
907	22031	2232
908	22056	2208
909	22079	2183
910	22102	2159
911	22126	2134
912	22150	2110
913	22173	2086
914	22193	2061
915	22216	2037
916	22238	2012
917	22263	1988
918	22286	1964
919	22303	1939
920	22325	1914
921	22349	1890
922	22372	1866
923	22396	1842
924	22418	1817
925	22440	1793
926	22462	1768
927	22489	1744
928	22513	1720
929	22538	1696
930	22563	1672
931	22587	1648
932	22613	1623
933	22639	1599
934	22661	1575
935	22684	1551
936	22706	1526
937	22729	1502
938	22749	1477
939	22771	1453
940	22794	1429
941	22817	1404
942	22838	1380
943	22856	1355
944	22876	1331
945	22899	1307
946	22922	1282
947	22944	1258
948	22967	1234
949	22990	1210
950	23013	1185
951	23035	1161
952	23057	1137
953	23079	1112
954	23102	1088
955	23123	1064
956	23145	1039
957	23168	1015
958	23192	991
959	23216	967
960	23238	943
961	23259	918
962	23280	894
963	23304	870
964	23326	846
965	23348	821
966	23369	797
967	23392	773
968	23416	749
969	23440	724
970	23470	700
971	23493	676
972	23515	652
973	23538	628
974	23561	604
975	23581	579
976	23605	555
977	23632	531
978	23657	507
979	23681	483
980	23707	459
981	23731	435
982	23756	410
983	23780	386
984	23803	362
985	23827	338
986	23852	314
987	23877	290
988	23899	265
989	23923	241
990	23944	217
991	23964	193
992	23986	169
993	24008	144
994	24033	120
995	24057	96
996	24088	72
997	24115	48
998	24138	24
999	24160	0
